index,Aprop,Bprop,Cprop,twoPlayer,similar,radius
1,50,50,50,true,true,20
2,50,50,50,true,true,28
3,50,50,50,true,true,35
4,50,50,50,true,true,40
5,50,50,50,true,false,20
6,50,50,50,true,false,28
7,50,50,50,true,false,35
8,50,50,50,true,false,40
9,50,50,50,false,false,20
10,50,50,50,false,false,28
11,50,50,50,false,false,35
12,50,50,50,false,false,40
13,100,25,25,true,true,20
14,100,25,25,true,true,28
15,100,25,25,true,true,35
16,100,25,25,true,true,40
17,100,25,25,true,false,20
18,100,25,25,true,false,28
19,100,25,25,true,false,35
20,100,25,25,true,false,40
21,100,25,25,false,false,20
22,100,25,25,false,false,28
23,100,25,25,false,false,35
24,100,25,25,false,false,40
25,25,100,25,true,true,20
26,25,100,25,true,true,28
27,25,100,25,true,true,35
28,25,100,25,true,true,40
29,25,100,25,true,false,20
30,25,100,25,true,false,28
31,25,100,25,true,false,35
32,25,100,25,true,false,40
33,25,100,25,false,false,20
34,25,100,25,false,false,28
35,25,100,25,false,false,35
36,25,100,25,false,false,40
37,25,25,100,true,true,20
38,25,25,100,true,true,28
39,25,25,100,true,true,35
40,25,25,100,true,true,40
41,25,25,100,true,false,20
42,25,25,100,true,false,28
43,25,25,100,true,false,35
44,25,25,100,true,false,40
45,25,25,100,false,false,20
46,25,25,100,false,false,28
47,25,25,100,false,false,35
48,25,25,100,false,false,40
index,Aprop,Bprop,Cprop,twoPlayer,similar,radius
5,50,50,50,true,false,20
